10512,4CS  COUGH MIXTURE,OTC,"2,000.00"
36471,5-FLUORO-URACYL,CBD,"44,880.00"
36844,ABILIFY  5MG ,CBD,"2,000.00"
37847,ABITREXATE 50MG/ML,CBD,"139,425.00"
37747,ACARBOSE 25MG,CBD,150
36500,ACCU-CHECK ACTIVE,CBD,"15,000.00"
36058,ACCU-CHECK PERFOMA,CBD,"20,500.00"
37688,ACCU-CHECK(ONE TOUCH/ULTRA STRIPS),CBD,"20,500.00"
37177,ACCU-CHECK(SD CHECK STRIPS),CBD,"9,000.00"
36564,ACCULAR EYE DROPS,CBD,"14,500.00"
36600,ACCUPRIL 10MG ,CBD,375
37712,ACCUPRIL 20MG,CBD,500
43144,ACCUPRIL 40MG,CBD,700
41209,ACCUPRIL 5MG ,CBD,300
43097,ACCURETIC 20MG,CBD,700
37719,ACCUTANE 0.5MG,CBD,600
41982,ACCUTREND CHOLESTEROL TEST STRIPS,CBD,"35,000.00"
41442,ACELOFENAC   100MG,NBD,70
36801,ACEPAR , NGD ,35
36142,ACETAZOLAMIDE TABLETS 250MG,CGD,150
8025,ACETOMENAPHTHONE TABS 10MG,NGD,22
37868,ACLASTA 5MG/ 100ML,CBD,"250,000.00"
36144,ACNE CLEAR,NBD,"3,500.00"
41015,ACNIDAZIL(MICONAZOLE 2% C,NBD,"9,000.00"
10094,ACTIFED COMPOUND LINCTUS,OTC,"3,500.00"
41019,ACTIFED SYRUP 100ML,OTC,"3,500.00"
16047,ACTIFED TABLETS,OTC,200
36604,ACTIFIED DM LINCTUS,OTC,"3,850.00"
36764,ACTIVELLE,CBD,500
36529,ACTONEL 25MG (RISEDRONATE,CBD,"7,500.00"
43326,ACTOS PIOGLITAZONE HCL 15,CBD,800
36147,ACTRAPHANE HMGE INSULIN 10ML,CBD,"14,500.00"
36146,ACTRAPHANE PENTILS 5X3ML INSULIN ,CBD,"32,500.00"
36148,ACTRAPID INSULIN 10ML,CBD,"14,000.00"
37872,ACULAR EYE  DROPS,CBD,"10,780.00"
36605,ACYCLOVIR 200MG TABLETS,NGD,44
16014,ACYCLOVIR 400MG,NGD,80
37171,ACYCLOVIR CREAM 15GM,NGD,"1,300.00"
41093,ACYCLOVIR DENK 200MG,NGD,220
36419,ACYCLOVIR EYE OINTMENT,NGD,"1,500.00"
7089,ADALAT 10MG,CBD,600
37644,ADALAT 30MG,CBD,800
36610,ADALAT 5MG CAPSULES,CBD,385
37243,ADALAT 60MG,CBD,900
41023,ADALAT RETARD 20MG,CBD,700
36880,ADAPALENE GEL (DERIVA),CBD,"7,000.00"
5144,ADRENALIN INJECTION,NGD,330
41029,ADRIBLASTINE 10MG,CBD,594.3
41112,ADRIBLASTINE 50MG INJECTI,CBD,"17,000.00"
36774,ADVANTAN CREAM,CBD,"14,000.00"
11122,AGAROL SUSPENSION 200ML,OTC,"1,450.00"
43017,AKINETON,CBD,165
41046,AKINETON AMP 5MG 1ML (1),NBD,"2,245.00"
37608,ALACETAN  16MG,OTC,300
41077,ALAXIN SUSPENSION,NBD,"2,000.00"
12306,ALAXIN TABLETS,NBD,800
37174,ALBENDAZOLE,NGD,100
37202,ALBENDAZOLE SYRUP 5ML,NGD,450
36446,ALCHERA 7.5MG,CBD,165
36150,ALDACTIDE TABS 25MG,CBD,170
36151,ALDACTIDE TABS 50MG,CBD,170
36607,ALDACTONE 100MG TABLETS,CBD,400
35417,ALDARA CREAM,NBD,"55,000.00"
7030,ALDOMET 250MG,CBD,130
7031,ALDOMET TABS 500MG,CBD,180
2369,ALENDRONATE       35 MGS,CGD,500
36981,ALENDRONIC SODIUM 70MG(FOSAMEX) TABS,CBD,"1,050.00"
37622,ALEVE (NAPROXEN),NBD,220
41064,ALFUZOSIN HCL 10MG,CGD,300
42318,ALLEGRA 30MG ( FEXOFENADINE 180 MG),CBD,400
36615,ALLERGON 25G CREAM,NGD,600
41065,ALLOFERIN AMP 10MG 2ML (1,NBD,"1,900.00"
37208,ALLOPURINOL 100MG,CGD,100
40005,ALLOPURINOL 150MG,CGD,200
37717,ALLOPURINOL 300MG,CGD,150
37853,ALMOGRAN    12.5MG,CBD,80
41782,ALOMIDE 10ML,CBD,"11,500.00"
2222,ALPHA ONE TABLETS,CBD,450
36553,ALPHAGAN EYE DROPS,CBD,"12,500.00"
36620,ALPHOSYL CREAM,NGD,900
43114,ALPRAZOLAM 1MG,CGD,160
37098,ALTACEF SYRUP,NBD,"4,000.00"
11077,ALTACITE TABS,OTC,300
32204,ALTOSEC ,CBD,600
36616,ALUMINIUM HYDROXIDE SUSP,OTC,80
10116,ALUPENT TABLETS,CBD,80
37726,ALVESCO INHALER,CBD,"17,000.00"
41067,ALVITYL SYRUP,NPD,150
41068,ALVITYL TABLETS,NPD,17
36971,AMANTADINE HCL 100MG,CGD,500
41071,AMARYL 1MG,CBD,400
43089,AMARYL 2MG,CBD,650
36988,AMARYL 4MG,CBD,900
11964,AMBRAL SUSPENSION 100MG,NBD,500
11968,AMBROXOL TAB,NBD,200
37032,AMETHOCAINE HCL CREAM,NBD,"3,200.00"
41069,AMIKACINE (250MG)/VIAL,NGD,600
41070,AMIKIN VIAL 100MG 2ML (1),NBD,600
37756,AMILOPRES ( AMLODIPINE 5M,CBD,80
37094,AMILOPRESS(AMLODIPINE & ATENOL),CBD,180
40026,AMILORIDE HYDROCHLORIDE,CGD,30
41072,AMINOPHILLINE TAB 100MG,CGD,11
41074,AMINOPHYLLINE IV INJECTIO,CGD,180
41075,AMINOSTERIL 500ML INFUSIO,NBD,"2,062.00"
43088,AMIODARONE 200MG,CGD,450
12414,AMIODARONE HYDROCHLORIDE,CGD,450
